alim_grp_code;alim_grp_nom;alim_code;alim_nom;energie_kcal;eau_g_100g;prot_g_100g;gluc_g_100g;lipi_g_100g;sucr_g_100g;fibr_g_100g
02;fruits, légumes, légumineuses et oléagineux;4103;Patate douce, purée, cuisinée à la crème;79,8;0;1,1;12,1;2;7,5;4,5
06;boissons;5000;Bière brune;40,7;92,7;0,48;4,1;0;4,1;0
06;boissons;5001;"Bière ""coeur de marché"" (405° alcool)";37,3;92,7;0,39;2,7;0;0;0
06;boissons;5002;Bière forte (>8° alcool);62,5;88,8;0,51;4,6;0;0;0
06;boissons;5004;Panaché (limonade et bière);34,8;92,5;0,19;5,17;0;4,5;0
06;boissons;5005;Panaché préemballé (<1° alc.);25,4;94;0,48;4,93;0,05;4,92;0
06;boissons;5006;Cidre brut;0;93,9;0;2,62;0;2,22;0
06;boissons;5007;Cidre doux;37,5;91,9;0,5;5,09;0,6;4,61;0
06;boissons;5008;Bière faiblement alcoolisée (3° alcool);35,5;93,6;0,31;4,62;0,05;0,09;0
06;boissons;5010;"Bière ""spéciale"" (506° alcool)";56,3;90,8;0,48;4,55;0,05;4;0
06;boissons;5011;"Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)";47,1;91,3;0,51;3,2;0;0;0
06;boissons;5020;Cidre traditionnel;0;94,2;0;1,87;0;1,58;0
06;boissons;5021;Cidre bouché demi0sec;35,1;93,9;0,5;0,96;0,6;0,81;0
06;boissons;5022;Cidre aromatisé (framboise);35,4;92;0,5;5,34;0,6;4,96;0
06;boissons;5030;Bière sans alcool (<1,2° alcool);25,3;94;0,31;4,89;0,05;2,55;0
06;boissons;5100;Pétillant de fruits;65,6;87,6;0;6,94;0;6,94;0
06;boissons;5200;Vin blanc 11°;77,7;87,5;0,07;2,58;0;1,68;0
06;boissons;5201;Vin blanc mousseux;75,3;88,4;0,1;1,4;0;1,4;0
06;boissons;5203;Vin rouge 10°;67,3;0;0,2;0;0;0;0
06;boissons;5204;Vin rouge 11°;77,7;88,1;0,075;1,03;0;0,62;0
06;boissons;5205;Vin rouge 12°;76,5;88,1;0,085;1,58;0;0,62;0
06;boissons;5206;Vin rosé 11°;71,5;88,9;0,2;1,4;0;0;0
06;boissons;5207;Champagne;81,7;86,8;0,3;2,81;0;1,4;0
06;boissons;5208;Vin rouge 13°;73,3;89,1;0,1;0,2;0;0,15;0
06;boissons;5209;Vin blanc mousseux aromatisé;83,5;0;0,2;5,1;0;5,1;0
06;boissons;5210;Vin (aliment moyen);79,5;86,7;0,13;2,18;0;1,36;0
06;boissons;5211;Vin blanc sec 11°;55,9;0;0,5;0,17;0;0,17;0
04;viandes, œufs, poissons;6001;Boeuf, côte, crue;147;0;20,5;0;7,28;0;0
04;viandes, œufs, poissons;6002;Boeuf, épaule, crue;168;69;20,4;0;9,64;0;0
04;viandes, œufs, poissons;6100;Boeuf, entrecôte, partie maigre, grillée/poêlée;198;62,3;25,5;0,1;10,7;0;0
04;viandes, œufs, poissons;6101;Boeuf, braisé;240;55,7;32,1;0;12,4;0;0
04;viandes, œufs, poissons;6102;Boeuf, gîte à la noix, cru;148;68,9;21,3;0;7,05;0;0
04;viandes, œufs, poissons;6103;Boeuf, entrecôte, crue;231;62,5;19,4;0;17,1;0;0
04;viandes, œufs, poissons;6104;Boeuf, gîte à la noix, cuit;102;0;21;0,2;1,9;0;0
04;viandes, œufs, poissons;6105;Boeuf, faux0filet, rôti/cuit au four;194;62;28,8;0;8,71;0;0
04;viandes, œufs, poissons;6110;Boeuf, faux0filet, grillé/poêlé;182;64,3;27,1;0;8,17;0;0
04;viandes, œufs, poissons;6111;Boeuf, faux0filet, cru;152;70,5;22,3;0,6;6,74;0;0
04;viandes, œufs, poissons;6112;Boeuf, faux0filet, label rouge, cru;121;72,6;24,1;0;2,8;0;0
04;viandes, œufs, poissons;6122;Boeuf, plat de côtes, cru;287;58,2;18,4;0;23,7;0;0
04;viandes, œufs, poissons;6123;Boeuf, plat de côtes, braisé;269;48,9;37,3;0;13,3;0;0
04;viandes, œufs, poissons;6130;Boeuf, hampe, crue;154;71,5;19;0;8,63;0;0
04;viandes, œufs, poissons;6131;Boeuf, hampe, grillée/poêlée;174;67,6;21,6;0;9,76;0;0
04;viandes, œufs, poissons;6140;Boeuf, joue, crue;136;73,2;22,3;0,4;5,02;0;0
04;viandes, œufs, poissons;6141;Boeuf, joue, braisée ou bouillie;236;52,9;39,2;0;8,82;0;0
04;viandes, œufs, poissons;6150;Boeuf, jarret, cru;122;72,5;20,9;0;4,25;0;0
04;viandes, œufs, poissons;6151;Boeuf, jarret, bouilli/cuit à l'eau;161;0;31;0;4,1;0;0
04;viandes, œufs, poissons;6160;Boeuf, tende de tranche, crue;116;74,8;23,1;0,57;2,34;0;0
04;viandes, œufs, poissons;6161;Boeuf, tende de tranche, grillée/poêlée;141;68,5;28,7;0;2,92;0;0
04;viandes, œufs, poissons;6162;Boeuf, tende de tranche, rôtie/cuite au four;146;67,4;29,8;0;3,03;0;0
04;viandes, œufs, poissons;6200;Boeuf, steak ou bifteck, grillé;128;69,1;27,6;0;1,95;0;0
04;viandes, œufs, poissons;6201;Boeuf, steak ou bifteck, cru;223;63,1;19,2;0;16,2;0;0
04;viandes, œufs, poissons;6202;Boeuf, boule de macreuse, crue;118;74,5;21,8;0;3,36;0;0
04;viandes, œufs, poissons;6204;Boeuf, onglet, cru;139;0;20;0;6,6;0;0
04;viandes, œufs, poissons;6205;Boeuf, onglet, grillé;171;0;23;0;8,8;0;0
04;viandes, œufs, poissons;6206;Boeuf, rumsteck, cru;114;70,9;22,5;0,4;2,5;0;0
04;viandes, œufs, poissons;6207;Boeuf, rumsteck, grillé;123;0;25;0;2,5;0;0
04;viandes, œufs, poissons;6208;Boeuf, boule de macreuse, grillée/poêlée;144;68,8;26,7;0;4,11;0;0
04;viandes, œufs, poissons;6210;Boeuf, rosbif, rôti/cuit au four;117;72,5;21,9;0,3;3,16;0;0
04;viandes, œufs, poissons;6211;Boeuf, bavette d'aloyau, grillée/poêlée;162;67,8;25;0;6,94;0;0
04;viandes, œufs, poissons;6212;Boeuf, bavette d'aloyau, crue;133;73,7;20,4;0;5,67;0;0
04;viandes, œufs, poissons;6214;Boeuf, boule de macreuse, rôtie/cuite au four;147;68,2;27,3;0;4,2;0;0
04;viandes, œufs, poissons;6230;Boeuf, à bourguignon ou pot0au0feu, cuit;172;59,4;34;0;4,05;0;0
04;viandes, œufs, poissons;6231;Boeuf, à bourguignon ou pot0au0feu, cru;164;0;24;0;7,5;0;0
04;viandes, œufs, poissons;6241;Boeuf, collier, braisé;184;0;33;0;5,8;0;0
04;viandes, œufs, poissons;6250;Bœuf, steak haché 5% MG, cru;130;74;21,9;0,3;4,59;0;0
04;viandes, œufs, poissons;6251;Bœuf, steak haché 5% MG, cuit;155;68,9;25,5;0;5,85;0;0
04;viandes, œufs, poissons;6252;Bœuf, steak haché 10% MG, cru;171;69;20;0,05;10,1;0;0
04;viandes, œufs, poissons;6253;Bœuf, steak haché 10% MG, cuit;210;61,4;26,1;0;11,8;0;0
04;viandes, œufs, poissons;6254;Bœuf, steak haché 15% MG, cru;209;67,2;20,2;0,47;14,1;0;0
04;viandes, œufs, poissons;6255;Bœuf, steak haché 15% MG, cuit;239;59,1;23,6;0;16,1;0;0
04;viandes, œufs, poissons;6256;Bœuf, steak haché 20% MG, cru;249;61,4;17,3;0;20;0;0
04;viandes, œufs, poissons;6257;Bœuf, steak haché 20% MG, cuit;265;56,7;23;0,14;19,2;0;0
04;viandes, œufs, poissons;6259;Bœuf, steak haché, cuit (aliment moyen);231;60;23,8;0,0018;15,1;0;0
